CD_CVM,DENOM_CIA
1023,BCO BRASIL S.A.
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS
14966,SERRA AZUL WATER PARK SA
15253,ENERGISA S.A.
21733,CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO
15539,NEOENERGIA S.A.
15709,RUMO MALHA SUL S.A.
16101,GAFISA S.A.
20044,CSU DIGITAL S.A.
16659,PORTO SEGURO S.A.
17868,INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA
24813,LOCALIZA FLEET S.A.
20800,TEGMA GESTAO LOGISTICA S.A.
18724,BRADESPAR S.A.
21610,"B3 S.A. - BRASIL, BOLSA, BALCÃO"
23159,BB SEGURIDADE PARTICIPAÇÕES S.A.
906,BCO BRADESCO S.A.
19348,ITAU UNIBANCO HOLDING S.A.
20532,BCO SANTANDER (BRASIL) S.A.
21733,CIELO S.A.
15709,FERROVIA SUL-ATLANTICO S.A.
20044,CSU CARDSYSTEM S.A.
17868,INEPAR EQUIPAMENTOS E MONTAGENS S/A
