CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1,Ativo Total,1782539204.0,S,ativo total,1,0,
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1,Ativo Total,1988645574.0,S,ativo total,1,0,
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1.01,Caixa e Equivalentes de Caixa,173400753.0,S,caixa equivalentes caixa,2,1,Ativo Total
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1.01,Caixa e Equivalentes de Caixa,51538342.0,S,caixa equivalentes caixa,2,1,Ativo Total
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1.01.01,Caixa,14239838.0,S,caixa,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1.01.01,Caixa,15285225.0,S,caixa,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1.01.02,Aplicações de Liquidez,159160915.0,S,aplicacoes liquidez,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1.01.02,Aplicações de Liquidez,36253117.0,S,aplicacoes liquidez,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1.02,Ativos Financeiros,1486913508.0,S,ativos financeiros,2,1,Ativo Total
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1.02,Ativos Financeiros,1798690747.0,S,ativos financeiros,2,1,Ativo Total
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1.02.01,Depósito Compulsório Banco Central,60308542.0,S,deposito compulsorio banco central,3,1.02,Ativos Financeiros
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1.02.01,Depósito Compulsório Banco Central,75504036.0,S,deposito compulsorio banco central,3,1.02,Ativos Financeiros
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2020-12-31,1.02.02,Ativos Financeiros Avaliados ao Valor Justo através do Resultado,13530874.0,S,ativos financeiros avaliados valor justo atraves resultado,3,1.02,Ativos Financeiros
00.000.000/0001-91,2021-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2021-12-31,1.02.02,Ativos Financeiros Avaliados ao Valor Justo através do Resultado,7023079.0,S,ativos financeiros avaliados valor justo atraves resultado,3,1.02,Ativos Financeiros
