CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2,Passivo Total,1353075042.0,S,passivo total,1,0,
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2,Passivo Total,1396507474.0,S,passivo total,1,0,
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.01,Passivos Financeiros para Negociação,0.0,S,passivos financeiros negociacao,2,2,Passivo Total
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2.01,Passivos Financeiros para Negociação,0.0,S,passivos financeiros negociacao,2,2,Passivo Total
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.02,Outros Passivos Financeiros ao Valor Justo no Resultado,789887.0,S,outros passivos financeiros valor justo resultado,2,2,Passivo Total
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2.02,Outros Passivos Financeiros ao Valor Justo no Resultado,809301.0,S,outros passivos financeiros valor justo resultado,2,2,Passivo Total
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.03,Passivos Financeiros ao Custo Amortizado,1164950712.0,S,passivos financeiros custo amortizado,2,2,Passivo Total
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2.03,Passivos Financeiros ao Custo Amortizado,1201107729.0,S,passivos financeiros custo amortizado,2,2,Passivo Total
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.03.01,Depósitos de Clientes,426076603.0,N,depositos clientes,3,2.03,Passivos Financeiros ao Custo Amortizado
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2.03.01,Depósitos de Clientes,452368176.0,N,depositos clientes,3,2.03,Passivos Financeiros ao Custo Amortizado
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.03.02,Valores a Pagar a Instituições Financeiras,24649124.0,N,valores pagar instituicoes financeiras,3,2.03,Passivos Financeiros ao Custo Amortizado
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2.03.02,Valores a Pagar a Instituições Financeiras,34073439.0,N,valores pagar instituicoes financeiras,3,2.03,Passivos Financeiros ao Custo Amortizado
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.03.03,Obrigações por Operações Compromissadas,376242695.0,N,obrigacoes operacoes compromissadas,3,2.03,Passivos Financeiros ao Custo Amortizado
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2018-12-31,2.03.03,Obrigações por Operações Compromissadas,402901202.0,N,obrigacoes operacoes compromissadas,3,2.03,Passivos Financeiros ao Custo Amortizado
00.000.000/0001-91,2018-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2017-12-31,2.03.04,Obrigações por emissão de títulos e valores mobiliários e outras obrigações,337982290.0,N,obrigacoes emissao titulos valores mobiliarios outras obrigacoes,3,2.03,Passivos Financeiros ao Custo Amortizado
