CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,6.01,Caixa Líquido Atividades Operacionais,28068706.0,S,caixa liquido atividades operacionais,2,6,
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,6.01,Caixa Líquido Atividades Operacionais,4385042.0,S,caixa liquido atividades operacionais,2,6,
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,6.01.01,Caixa Gerado nas Operações,19533413.0,S,caixa gerado operacoes,3,6.01,Caixa Líquido Atividades Operacionais
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,6.01.01,Caixa Gerado nas Operações,49785745.0,S,caixa gerado operacoes,3,6.01,Caixa Líquido Atividades Operacionais
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,6.01.01.01,Lucro Líquido,15798039.0,N,lucro liquido,4,6.01.01,Caixa Gerado nas Operações
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,6.01.01.01,Lucro Líquido,8659577.0,N,lucro liquido,4,6.01.01,Caixa Gerado nas Operações
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,6.01.01.02,Efeito da Mudança da Taxa de Câmbio no Caixa e Equivalentes de Caixa,-4343112.0,N,efeito mudanca taxa cambio caixa equivalentes caixa,4,6.01.01,Caixa Gerado nas Operações
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,6.01.01.02,Efeito da Mudança da Taxa de Câmbio no Caixa e Equivalentes de Caixa,9361703.0,N,efeito mudanca taxa cambio caixa equivalentes caixa,4,6.01.01,Caixa Gerado nas Operações
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,6.01.01.03,Provisão para Perdas em Empréstimos a Clientes e Instituições Financeiras,26076614.0,N,provisao perdas emprestimos clientes instituicoes financeiras,4,6.01.01,Caixa Gerado nas Operações
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,6.01.01.03,Provisão para Perdas em Empréstimos a Clientes e Instituições Financeiras,31951777.0,N,provisao perdas emprestimos clientes instituicoes financeiras,4,6.01.01,Caixa Gerado nas Operações
