CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01,Caixa Líquido das Atividades Operacionais,-49713559.0,S,caixa liquido atividades operacionais,2,6,
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01,Caixa Líquido das Atividades Operacionais,56704421.0,S,caixa liquido atividades operacionais,2,6,
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.01,Caixa Gerado pelas Operações,41258076.0,S,caixa gerado operacoes,3,6.01,Caixa Líquido das Atividades Operacionais
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.01,Caixa Gerado pelas Operações,51711382.0,S,caixa gerado operacoes,3,6.01,Caixa Líquido das Atividades Operacionais
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,19574419.0,S,lucro prejuizo liquido antes tributos sobre lucro,4,6.01.01,Caixa Gerado pelas Operações
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,30796870.0,S,lucro prejuizo liquido antes tributos sobre lucro,4,6.01.01,Caixa Gerado pelas Operações
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.01.02,Ajustes ao Lucro ou Prejuízo,21683657.0,S,ajustes lucro prejuizo,4,6.01.01,Caixa Gerado pelas Operações
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.01.02,Ajustes ao Lucro ou Prejuízo,20914512.0,S,ajustes lucro prejuizo,4,6.01.01,Caixa Gerado pelas Operações
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.02,Variações nos Ativos e Passivos,-90971635.0,S,variacoes ativos passivos,3,6.01,Caixa Líquido das Atividades Operacionais
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.02,Variações nos Ativos e Passivos,4993039.0,S,variacoes ativos passivos,3,6.01,Caixa Líquido das Atividades Operacionais
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.02.01,(Aumento) Redução em depósitos compulsórios no Banco Central do Brasil,-15195494.0,N,aumento reducao depositos compulsorios banco central brasil,4,6.01.02,Variações nos Ativos e Passivos
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.02.01,(Aumento) Redução em depósitos compulsórios no Banco Central do Brasil,-19615050.0,N,aumento reducao depositos compulsorios banco central brasil,4,6.01.02,Variações nos Ativos e Passivos
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.02.02,(Aumento) Redução em aplicações interfinanceiras de liquidez,-139391627.0,N,aumento reducao aplicacoes interfinanceiras liquidez,4,6.01.02,Variações nos Ativos e Passivos
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.02.02,(Aumento) Redução em aplicações interfinanceiras de liquidez,140180740.0,N,aumento reducao aplicacoes interfinanceiras liquidez,4,6.01.02,Variações nos Ativos e Passivos
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.02.03,(Aumento) Redução em títulos para negociação,-1360849.0,N,aumento reducao titulos negociacao,4,6.01.02,Variações nos Ativos e Passivos
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,6.01.02.03,(Aumento) Redução em títulos para negociação,2636436.0,N,aumento reducao titulos negociacao,4,6.01.02,Variações nos Ativos e Passivos
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,6.01.02.04,(Aumento) Redução em instrumentos financeiros derivativos,325203.0,N,aumento reducao instrumentos financeiros derivativos,4,6.01.02,Variações nos Ativos e Passivos
