CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2018-01-01,2018-12-31,3.01,Receitas da Intermediação Financeira,120250344.0,S,receitas intermediacao financeira,2,3,
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-12-31,3.01,Receitas da Intermediação Financeira,123105325.0,S,receitas intermediacao financeira,2,3,
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2018-01-01,2018-12-31,3.01.01,Receita de Juros,120250344.0,N,receita juros,3,3.01,Receitas da Intermediação Financeira
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-12-31,3.01.01,Receita de Juros,123105325.0,N,receita juros,3,3.01,Receitas da Intermediação Financeira
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2018-01-01,2018-12-31,3.02,Despesas da Intermediação Financeira,-82160825.0,S,despesas intermediacao financeira,2,3,
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-12-31,3.02,Despesas da Intermediação Financeira,-89253866.0,S,despesas intermediacao financeira,2,3,
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2018-01-01,2018-12-31,3.02.01,Despesas de Juros,-69536974.0,N,despesas juros,3,3.02,Despesas da Intermediação Financeira
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-12-31,3.02.01,Despesas de Juros,-69306296.0,N,despesas juros,3,3.02,Despesas da Intermediação Financeira
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2018-01-01,2018-12-31,3.02.02,Despesa com Perdas em Empréstimos a Clientes,-12462801.0,N,despesa perdas emprestimos clientes,3,3.02,Despesas da Intermediação Financeira
00.000.000/0001-91,2019-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-12-31,3.02.02,Despesa com Perdas em Empréstimos a Clientes,-16959338.0,N,despesa perdas emprestimos clientes,3,3.02,Despesas da Intermediação Financeira
