CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01,Receitas,114798690.0,S,receitas,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01,Receitas,146989548.0,S,receitas,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.01,Intermediação Financeira,105181597.0,S,intermediacao financeira,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.01,Intermediação Financeira,138300736.0,S,intermediacao financeira,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.02,Prestação de Serviços,21145859.0,S,prestacao servicos,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.02,Prestação de Serviços,23474028.0,S,prestacao servicos,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.03,Provisão/Reversão de Créds. Liquidação Duvidosa,-11528766.0,S,provisao reversao creds liquidacao duvidosa,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.03,Provisão/Reversão de Créds. Liquidação Duvidosa,-14785216.0,S,provisao reversao creds liquidacao duvidosa,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.04,Outras,0.0,S,outras,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.04,Outras,0.0,S,outras,3,7.01,Receitas
